squad_no,player_name,short_name,position_group,age,matches_played_pm,starts_sm,complete_matches_cm,sub_appearances_am,bench_or_c_col,minutes,yellow_cards,red_cards,goals_raw_bdfutbol,model_role,league_goals_outfield,goals_against_gk_from_raw,goals_per_90,cards_per_90,preferred_foot_model_assumption,source
1,Alisson Becker,Alisson,GK,32,28,28,27,0,0,2509,0,0,-29,Goalkeeper,0,29.0,0.0,0.0,Right,BDFutbol public 2024-25 Liverpool Premier League squad table; footed/role fields are model assumptions
66,Trent Alexander-Arnold,Alexander-Arnold,DF,26,33,28,12,5,1,2376,5,0,3,Right back / deep creator,3,,0.11363636363636365,0.1893939393939394,Right,BDFutbol public 2024-25 Liverpool Premier League squad table; footed/role fields are model assumptions
26,Andy Robertson,Robertson,DF,30,33,29,16,4,5,2491,3,1,0,Left back,0,,0.0,0.18065034122842233,Left,BDFutbol public 2024-25 Liverpool Premier League squad table; footed/role fields are model assumptions
4,Virgil van Dijk,Van Dijk,DF,33,37,37,37,0,1,3330,5,0,3,Centre back / set-piece aerial threat,3,,0.08108108108108109,0.13513513513513514,Right,BDFutbol public 2024-25 Liverpool Premier League squad table; footed/role fields are model assumptions
5,Ibrahima Konaté,Konaté,DF,25,31,30,24,1,1,2566,5,0,1,Centre back,1,,0.03507404520654715,0.17537022603273578,Right,BDFutbol public 2024-25 Liverpool Premier League squad table; footed/role fields are model assumptions
38,Ryan Gravenberch,Gravenberch,MF,22,37,37,27,0,0,3169,6,1,0,Defensive/central midfielder,0,,0.0,0.2272010097822657,Right,BDFutbol public 2024-25 Liverpool Premier League squad table; footed/role fields are model assumptions
10,Alexis Mac Allister,Mac Allister,MF,26,35,30,17,5,0,2607,6,0,5,Central midfielder / penalty or set-piece option,5,,0.17261219792865362,0.20713463751438435,Right,BDFutbol public 2024-25 Liverpool Premier League squad table; footed/role fields are model assumptions
8,Dominik Szoboszlai,Szoboszlai,MF,24,36,29,17,7,0,2495,6,0,6,Attacking midfielder / long-shot and free-kick option,6,,0.21643286573146292,0.21643286573146292,Right,BDFutbol public 2024-25 Liverpool Premier League squad table; footed/role fields are model assumptions
11,Mohamed Salah,Salah,FW,32,38,38,29,0,0,3380,1,0,29,Right winger / elite finisher,29,,0.772189349112426,0.02662721893491124,Left,BDFutbol public 2024-25 Liverpool Premier League squad table; footed/role fields are model assumptions
7,Luis Díaz,Luis Díaz,FW,27,36,28,7,8,2,2413,2,0,13,Left winger / inside forward,13,,0.48487360132615004,0.07459593866556155,Right,BDFutbol public 2024-25 Liverpool Premier League squad table; footed/role fields are model assumptions
18,Cody Gakpo,Gakpo,FW,25,35,23,6,12,0,1938,5,0,10,Left forward / centre forward,10,,0.46439628482972134,0.23219814241486067,Right,BDFutbol public 2024-25 Liverpool Premier League squad table; footed/role fields are model assumptions
62,Caoimhín Kelleher,Kelleher,GK,26,10,10,10,0,27,900,0,0,-12,Goalkeeper,0,12.0,0.0,0.0,Right,BDFutbol public 2024-25 Liverpool Premier League squad table; footed/role fields are model assumptions
17,Curtis Jones,Jones,MF,23,33,19,6,14,1,1713,3,1,3,Central midfielder,3,,0.15761821366024517,0.2626970227670753,Right,BDFutbol public 2024-25 Liverpool Premier League squad table; footed/role fields are model assumptions
