event_id,data_status,season,team,competition,match_id,match_no,date_proxy,opponent_proxy,venue_proxy,minute,second,game_state_proxy,player_name,position_group,x_120,y_80,x_m,y_m,zone_id,distance_to_goal_m,open_goal_angle_deg,in_penalty_area,in_six_yard_box,field_side,field_depth,body_part,shot_technique,play_pattern,under_pressure,one_v_one,keeper_distance_m,defender_count_in_shot_cone,big_chance_proxy,model_probability_goal,is_shot_on_target,is_goal,target_for_model
SYN_SHOT_000001,synthetic_modelled_not_official_event_data,2024-25,Liverpool,Premier League,LIV_PL_2024_25_04,4,2024-09-14,Brentford,away,42,51,drawing,Mohamed Salah,FW,93.15,33.36,81.51,28.36,Z076,24.16,16.78,0,0,central,final_third_outside_box,left_foot,normal,open_play,1,0,4.2,3,0,0.0102,1,0,0
SYN_SHOT_000002,synthetic_modelled_not_official_event_data,2024-25,Liverpool,Premier League,LIV_PL_2024_25_33,33,2025-04-06,Newcastle United,home,16,45,winning,Cody Gakpo,FW,88.15,32.61,77.13,27.71,Z068,28.57,14.26,0,0,central,final_third_outside_box,right_foot,normal,high_press_recovery,1,0,6.65,3,0,0.0055,1,0,0
SYN_SHOT_000003,synthetic_modelled_not_official_event_data,2024-25,Liverpool,Premier League,LIV_PL_2024_25_27,27,2025-02-21,Everton,home,54,40,drawing,Mohamed Salah,FW,90.14,47.06,78.88,40.0,Z077,26.8,15.17,0,0,central,final_third_outside_box,right_foot,chip,direct_free_kick,0,0,3.19,1,0,0.0123,1,0,0
SYN_SHOT_000004,synthetic_modelled_not_official_event_data,2024-25,Liverpool,Premier League,LIV_PL_2024_25_31,31,2025-03-22,Manchester City,home,45,42,drawing,Cody Gakpo,FW,105.94,63.92,92.69,54.33,Z087,23.77,9.28,0,0,right_wing,wide_final_third,right_foot,normal,open_play,0,0,2.2,3,0,0.0057,0,0,0
SYN_SHOT_000005,synthetic_modelled_not_official_event_data,2024-25,Liverpool,Premier League,LIV_PL_2024_25_38,38,2025-05-08,Wolverhampton Wanderers,away,95,51,winning,Mohamed Salah,FW,109.07,51.05,95.43,43.39,Z086,13.4,22.83,1,0,right_half_space,penalty_area,left_foot,first_time,open_play,0,0,3.62,0,0,0.1833,1,1,1
SYN_SHOT_000006,synthetic_modelled_not_official_event_data,2024-25,Liverpool,Premier League,LIV_PL_2024_25_05,5,2024-09-18,Brighton,home,67,27,winning,Cody Gakpo,FW,111.35,50.65,97.43,43.05,Z094,11.8,23.77,1,0,right_half_space,penalty_area,right_foot,normal,open_play,0,0,0.5,0,0,0.1469,0,0,0
SYN_SHOT_000007,synthetic_modelled_not_official_event_data,2024-25,Liverpool,Premier League,LIV_PL_2024_25_19,19,2024-12-28,Wolverhampton Wanderers,home,73,58,drawing,Mohamed Salah,FW,106.33,36.92,93.04,31.38,Z084,12.24,32.67,1,0,central,penalty_area,head,power,corner,0,0,3.58,1,0,0.1372,0,0,0
SYN_SHOT_000008,synthetic_modelled_not_official_event_data,2024-25,Liverpool,Premier League,LIV_PL_2024_25_19,19,2024-12-28,Wolverhampton Wanderers,home,30,37,drawing,Mohamed Salah,FW,109.34,43.52,95.68,36.99,Z085,9.79,39.6,1,0,central,penalty_area,left_foot,normal,counter_attack,1,1,3.36,0,1,0.735,1,0,0
SYN_SHOT_000009,synthetic_modelled_not_official_event_data,2024-25,Liverpool,Premier League,LIV_PL_2024_25_17,17,2024-12-12,Tottenham Hotspur,home,29,1,losing,Luis Díaz,FW,99.54,79.0,87.1,67.15,Z080,37.67,5.32,0,0,right_wing,final_third_outside_box,right_foot,power,open_play,0,0,0.5,1,0,0.0015,0,0,0
SYN_SHOT_000010,synthetic_modelled_not_official_event_data,2024-25,Liverpool,Premier League,LIV_PL_2024_25_11,11,2024-10-30,Leicester City,home,1,53,winning,Diogo Jota,FW,104.35,39.14,91.31,33.27,Z084,13.71,29.86,1,0,central,penalty_area,right_foot,first_time,open_play,1,0,0.67,0,0,0.1468,1,0,0
SYN_SHOT_000011,synthetic_modelled_not_official_event_data,2024-25,Liverpool,Premier League,LIV_PL_2024_25_12,12,2024-11-10,Manchester City,away,92,19,losing,Diogo Jota,FW,107.69,29.52,94.23,25.09,Z083,13.97,23.43,1,0,left_half_space,penalty_area,left_foot,normal,open_play,0,0,3.11,4,0,0.0911,0,0,0
SYN_SHOT_000012,synthetic_modelled_not_official_event_data,2024-25,Liverpool,Premier League,LIV_PL_2024_25_16,16,2024-12-05,Southampton,away,70,44,winning,Dominik Szoboszlai,MF,119.5,67.58,104.56,57.44,Z095,23.45,0.34,0,0,right_wing,wide_final_third,left_foot,normal,high_press_recovery,0,0,5.33,4,0,0.0065,0,0,0
SYN_SHOT_000013,synthetic_modelled_not_official_event_data,2024-25,Liverpool,Premier League,LIV_PL_2024_25_11,11,2024-10-30,Leicester City,home,93,7,drawing,Cody Gakpo,FW,101.41,34.65,88.74,29.46,Z084,16.89,23.66,1,0,central,penalty_area,right_foot,first_time,counter_attack,1,1,6.38,1,1,0.3213,1,0,0
SYN_SHOT_000014,synthetic_modelled_not_official_event_data,2024-25,Liverpool,Premier League,LIV_PL_2024_25_12,12,2024-11-10,Manchester City,away,92,55,winning,Mohamed Salah,FW,99.87,41.45,87.38,35.23,Z077,17.66,23.37,0,0,central,final_third_outside_box,left_foot,placed,open_play,0,0,1.26,3,0,0.0275,0,0,0
SYN_SHOT_000015,synthetic_modelled_not_official_event_data,2024-25,Liverpool,Premier League,LIV_PL_2024_25_10,10,2024-10-26,Ipswich Town,away,32,31,drawing,Mohamed Salah,FW,107.06,33.12,93.67,28.15,Z084,12.75,29.07,1,0,central,penalty_area,left_foot,normal,direct_free_kick,0,0,0.5,1,0,0.1462,0,0,0
SYN_SHOT_000016,synthetic_modelled_not_official_event_data,2024-25,Liverpool,Premier League,LIV_PL_2024_25_37,37,2025-04-30,West Ham United,home,46,35,winning,Alexis Mac Allister,MF,91.07,36.81,79.68,31.29,Z076,25.46,16.27,0,0,central,final_third_outside_box,head,normal,direct_free_kick,1,0,2.56,1,0,0.0038,1,0,0
SYN_SHOT_000017,synthetic_modelled_not_official_event_data,2024-25,Liverpool,Premier League,LIV_PL_2024_25_32,32,2025-03-26,Manchester United,away,50,40,winning,Luis Díaz,FW,108.0,28.46,94.5,24.19,Z083,14.37,21.7,1,0,left_half_space,penalty_area,left_foot,normal,open_play,1,0,5.63,1,0,0.0785,0,0,0
SYN_SHOT_000018,synthetic_modelled_not_official_event_data,2024-25,Liverpool,Premier League,LIV_PL_2024_25_34,34,2025-04-09,Nottingham Forest,away,11,3,losing,Diogo Jota,FW,96.09,16.68,84.08,14.18,Z074,28.82,10.61,0,0,left_wing,final_third_outside_box,right_foot,first_time,open_play,0,0,2.27,1,0,0.0059,0,0,0
