event_id,data_status,season,team,player_name,position_group,minute,x_120,y_80,zone_id,field_side,field_depth,foul_type,current_yellow_before_event,transition_danger,referee_strictness_proxy,model_probability_yellow,is_yellow_card,model_probability_red,is_red_card
SYN_FOUL_000001,synthetic_modelled_not_official_event_data,2024-25,Liverpool,Mohamed Salah,FW,47,69.26,75.01,Z056,right_wing,middle_third,normal_contact,0,medium,0.328,0.03,0,0.003,0
SYN_FOUL_000002,synthetic_modelled_not_official_event_data,2024-25,Liverpool,Andy Robertson,DF,94,7.7,1.02,Z001,left_wing,own_half,handball,0,low,0.21,0.0405,0,0.003,0
SYN_FOUL_000003,synthetic_modelled_not_official_event_data,2024-25,Liverpool,Wataru Endo,MF,3,60.71,70.47,Z056,right_wing,middle_third,normal_contact,0,medium,0.423,0.0402,1,0.003,0
SYN_FOUL_000004,synthetic_modelled_not_official_event_data,2024-25,Liverpool,Ryan Gravenberch,MF,40,108.85,40.79,Z085,central,penalty_area,late_tackle,0,medium,0.798,0.1579,0,0.003,0
SYN_FOUL_000005,synthetic_modelled_not_official_event_data,2024-25,Liverpool,Andy Robertson,DF,33,20.78,39.23,Z020,central,own_half,late_tackle,1,high,0.649,0.2666,0,0.003,0
SYN_FOUL_000006,synthetic_modelled_not_official_event_data,2024-25,Liverpool,Dominik Szoboszlai,MF,46,50.86,23.92,Z043,left_half_space,middle_third,handball,0,low,0.525,0.047,1,0.003,0
SYN_FOUL_000007,synthetic_modelled_not_official_event_data,2024-25,Liverpool,Dominik Szoboszlai,MF,53,98.64,26.74,Z075,left_half_space,final_third_outside_box,stopping_counter,1,low,0.416,0.0924,0,0.003,0
SYN_FOUL_000008,synthetic_modelled_not_official_event_data,2024-25,Liverpool,Curtis Jones,MF,59,116.54,15.8,Z090,left_wing,wide_final_third,normal_contact,0,low,0.203,0.0286,0,0.003,0
SYN_FOUL_000009,synthetic_modelled_not_official_event_data,2024-25,Liverpool,Cody Gakpo,FW,18,14.32,8.56,Z009,left_wing,own_half,handball,0,medium,0.482,0.0381,0,0.003,0
SYN_FOUL_000010,synthetic_modelled_not_official_event_data,2024-25,Liverpool,Ibrahima Konaté,DF,83,29.79,77.81,Z024,right_wing,own_half,normal_contact,0,low,0.481,0.0612,0,0.003,0
SYN_FOUL_000011,synthetic_modelled_not_official_event_data,2024-25,Liverpool,Mohamed Salah,FW,78,24.99,73.45,Z024,right_wing,own_half,stopping_counter,0,high,0.262,0.1637,0,0.003,0
